Hate_Speech,TARGET,dialoGPT,BART,BERT,T5,gpt2,dialoGPT_deco,gpt2_deco,BERT_deco,BART_deco,T5_deco,gpt2_suitable,gpt2_specific,gpt2_grammar,gpt2_choose_or_not,gpt2_is_best,T5_suitable,T5_specific,T5_grammar,T5_choose_or_not,T5_is_best,BART_suitable,BART_specific,BART_grammar,BART_choose_or_not,BART_is_best,dialoGPT_suitable,dialoGPT_specific,dialoGPT_grammar,dialoGPT_choose_or_not,dialoGPT_is_best,BERT_suitable,BERT_specific,BERT_grammar,BERT_choose_or_not,BERT_is_best,Annotator
"Muslims are violent, they should go home.",MUSLIMS,"I think that you are right that Islam is a violent religion, but violence is not the only problem.",Violence is never justified in Islam. There is no evidence that Islam is a violent religion.,"islam is a religion of peace, and it is not a bad thing to be a religion. if you wanted to talk about islam, then you would be surprised if you were to be honest and honest, i would be interested in talking about islam and islam, but i do not think it is a crime to say that all muslims are guilty of crimes.","In many countries like the United States they have violence, but there is no evidence that 'violence' is part of their culture, or of a religion's history, and we should work towards improving it.",I don't think it's a good idea to stigmatise people due to their religion. What is the harm in being honest?,tp,tk,tp,tp,kp,5,2,5,1,1,4,2,5,1,0,5,3,5,1,0,1,2,5,0,0,3,2,3,1,0,one
"Muslims are violent, they should go home.",MUSLIMS,"I think that you are right that Islam is a violent religion, but violence is not the only problem.",Violence is never justified in Islam. There is no evidence that Islam is a violent religion.,"islam is a religion of peace, and it is not a bad thing to be a religion. if you wanted to talk about islam, then you would be surprised if you were to be honest and honest, i would be interested in talking about islam and islam, but i do not think it is a crime to say that all muslims are guilty of crimes.","In many countries like the United States they have violence, but there is no evidence that 'violence' is part of their culture, or of a religion's history, and we should work towards improving it.",I don't think it's a good idea to stigmatise people due to their religion. What is the harm in being honest?,tp,tk,tp,tp,kp,4,3,5,1,1,4,4,4,1,0,4,3,5,1,0,1,2,5,0,0,1,1,1,0,0,two
Islam is a violent religion that promotes terror and war.,MUSLIMS,The vast majority of Muslims in the world are peaceful and friendly people. I don't see how you can say such a thing about them.,The vast majority of Muslims are peaceful people who have lived in peace and harmony for many years. How can you say this about a religion that promotes terror and war?,"islam is a religion of peace, and it is not a peaceful religion of violence. it is about peace and understanding of the world's problems, and peace is about bringing peace and peace.",The vast majority of Muslims in the UK are peaceful people who share many values and respect.,"This is not true, the vast majority of Muslims is peaceful and peaceful Muslims are happy to live in any country they wish. They do not need to be a part of a hostile state and they should be treated as equals in society.",bs,tp,tk,tk,tp,3,3,5,1,0,4,3,4,1,0,1,2,5,1,0,5,2,5,1,1,2,1,2,0,0,one
Islam is a violent religion that promotes terror and war.,MUSLIMS,The vast majority of Muslims in the world are peaceful and friendly people. I don't see how you can say such a thing about them.,The vast majority of Muslims are peaceful people who have lived in peace and harmony for many years. How can you say this about a religion that promotes terror and war?,"islam is a religion of peace, and it is not a peaceful religion of violence. it is about peace and understanding of the world's problems, and peace is about bringing peace and peace.",The vast majority of Muslims in the UK are peaceful people who share many values and respect.,"This is not true, the vast majority of Muslims is peaceful and peaceful Muslims are happy to live in any country they wish. They do not need to be a part of a hostile state and they should be treated as equals in society.",bs,tp,tk,tk,tp,5,5,5,1,1,5,2,5,1,0,1,4,5,1,0,5,3,5,0,0,3,4,2,1,0,two
Islam is a violent cult and should be feared.,MUSLIMS,"What exactly is the connection between Islam and violence? Islam is a religion, and a violent religion is not a religion. And what about your statement?",Islam is a religion of peace. It is not a violent cult and should be feared.,"islam is a religion of peace, and it is not a violent religion. it is about love and understanding and understanding the world's problems.","Islam is a religion of peace, and it is not a violent one.","Islam is a religion of peace, and there is no evidence that it is a violent one. This is why some people are saying that it is a cult.",tp,tp,tp,bs,bs,3,2,5,1,0,5,2,5,1,1,2,2,5,1,0,2,2,4,1,0,5,2,5,1,0,one
Islam is a violent cult and should be feared.,MUSLIMS,"What exactly is the connection between Islam and violence? Islam is a religion, and a violent religion is not a religion. And what about your statement?",Islam is a religion of peace. It is not a violent cult and should be feared.,"islam is a religion of peace, and it is not a violent religion. it is about love and understanding and understanding the world's problems.","Islam is a religion of peace, and it is not a violent one.","Islam is a religion of peace, and there is no evidence that it is a violent one. This is why some people are saying that it is a cult.",tp,tp,tp,bs,bs,2,2,5,0,0,3,2,5,1,0,1,2,4,0,0,5,4,5,1,1,3,3,3,1,0,two
Islam is incompatible with the European Convention on Human Rights.,MUSLIMS,Islam is not incompatible with the European Convention on Human Rights. It does not justify the state's use of terror.,Islam is not incompatible with the European Convention on Human Rights. It is a religion of peace and tolerance.,what do you mean by'' '? are you sure that the laws of europe are incompatible with the constitution? do you have any proof for that?,"If Islam was not incompatible with the European Convention on Human Rights, then Islam would have been incompatible with it.","If the human right to a fair trial were to be guaranteed to everyone, why should it be a human right of Islam? It is not compatible with the human rights of non-Muslims, which also includes the European Convention on Human Rights.",tp,tp,tk,bs,kp,3,3,3,0,0,2,2,3,0,0,5,2,5,1,0,5,4,5,1,1,2,3,4,0,0,one
Islam is incompatible with the European Convention on Human Rights.,MUSLIMS,Islam is not incompatible with the European Convention on Human Rights. It does not justify the state's use of terror.,Islam is not incompatible with the European Convention on Human Rights. It is a religion of peace and tolerance.,what do you mean by'' '? are you sure that the laws of europe are incompatible with the constitution? do you have any proof for that?,"If Islam was not incompatible with the European Convention on Human Rights, then Islam would have been incompatible with it.","If the human right to a fair trial were to be guaranteed to everyone, why should it be a human right of Islam? It is not compatible with the human rights of non-Muslims, which also includes the European Convention on Human Rights.",tp,tp,tk,bs,kp,2,3,4,0,0,1,1,5,0,0,5,2,5,1,1,4,4,5,1,0,3,3,2,1,0,two
Muslims are un-British and do not want to be part of the UK.,MUSLIMS,Muslims who have lived here for many years and are part of our society are happy to live here. What you are saying is just an opinion.,"Muslims are part of the UK, they are our brothers and sisters. They have always been part of our society, and they are proud of it.","muslims have been part of the european community since its inception, and have always been a part of our society. they are our brothers and sisters, and they have contributed greatly to our country. why shouldn't they be welcome here if they are not incompatible with our country?",Islam is a religion of peace. Muslims do not want to be a part of the UK. They are people of faiths and have our respect.,"Why do you say that? Muslims have contributed a lot to the UK, and are proud of that. What are the odds of them having the same beliefs as you?",kp,kp,tk,tp,tk,3,2,5,1,0,1,2,5,1,0,5,3,5,1,1,3,3,5,1,0,4,4,5,1,0,one
Muslims are un-British and do not want to be part of the UK.,MUSLIMS,Muslims who have lived here for many years and are part of our society are happy to live here. What you are saying is just an opinion.,"Muslims are part of the UK, they are our brothers and sisters. They have always been part of our society, and they are proud of it.","muslims have been part of the european community since its inception, and have always been a part of our society. they are our brothers and sisters, and they have contributed greatly to our country. why shouldn't they be welcome here if they are not incompatible with our country?",Islam is a religion of peace. Muslims do not want to be a part of the UK. They are people of faiths and have our respect.,"Why do you say that? Muslims have contributed a lot to the UK, and are proud of that. What are the odds of them having the same beliefs as you?",kp,kp,tk,tp,tk,5,4,5,1,1,3,2,5,1,0,5,3,5,1,0,5,4,5,1,0,4,5,4,1,0,two
If Muslims came here they would be banned: they are a lawless and violent threat.,MUSLIMS,Islam is a religion of peace. It is not a violent religion.,Islam is a religion of peace. It is not a lawless and violent threat.,"islam is a religion of peace, and it is not a bad thing. it is about love and understanding and understanding people of different faiths.","Muslims are not a lawless and violent threat, they are just people with different beliefs.","Islam is not a lawless religion, it is a religion of peace.",bs,bs,kp,tk,bs,3,2,5,1,0,5,3,5,1,1,5,3,5,1,0,5,2,5,1,0,5,2,5,1,0,one
If Muslims came here they would be banned: they are a lawless and violent threat.,MUSLIMS,Islam is a religion of peace. It is not a violent religion.,Islam is a religion of peace. It is not a lawless and violent threat.,"islam is a religion of peace, and it is not a bad thing. it is about love and understanding and understanding people of different faiths.","Muslims are not a lawless and violent threat, they are just people with different beliefs.","Islam is not a lawless religion, it is a religion of peace.",bs,bs,kp,tk,bs,4,2,5,0,0,5,2,5,1,1,4,2,5,0,0,4,2,5,0,0,5,4,4,1,0,two
"Muslim rape our women, we have to stop them.",MUSLIMS,"Rape is always a crime, regardless of the religion of the perpetrator.","Rape is a crime, regardless of the religion of the person committing it.","rape is not a crime, it is a crime regardless of the religion of the person being accused of it, regardless of their religion, or religion.",Rape isn't a crime. It is for the good of all people.,"Rape is always wrong, regardless of the religion of the perpetrator.",bs,bs,tk,kp,tk,5,3,5,1,0,1,2,5,0,0,5,3,5,1,0,5,3,5,1,1,1,2,3,1,0,one
"Muslim rape our women, we have to stop them.",MUSLIMS,"Rape is always a crime, regardless of the religion of the perpetrator.","Rape is a crime, regardless of the religion of the person committing it.","rape is not a crime, it is a crime regardless of the religion of the person being accused of it, regardless of their religion, or religion.",Rape isn't a crime. It is for the good of all people.,"Rape is always wrong, regardless of the religion of the perpetrator.",bs,bs,tk,kp,tk,5,3,5,1,0,1,1,5,0,0,5,3,5,1,0,5,3,5,1,1,3,3,2,1,0,two
Muslim invaders will conquer Europe. They will rape our women and they will do anything to get their way. Islam is a death cult.,MUSLIMS,How do you know that Islam is a death cult?,I don't see how you can say that Islam is a death cult. How can you say that?,"there is no evidence that islam is a religion of violence. do you have any? what do you mean by "" extremists ""?",What does that mean? What do you mean by a 'death cult'? How does it come to you?,"Islam is a religion, not a death cult. Do you really want to end up like that?",tp,kp,tp,tk,kp,3,2,5,1,0,3,2,5,1,0,3,2,5,1,0,2,2,5,1,0,4,2,5,1,1,one
Muslim invaders will conquer Europe. They will rape our women and they will do anything to get their way. Islam is a death cult.,MUSLIMS,How do you know that Islam is a death cult?,I don't see how you can say that Islam is a death cult. How can you say that?,"there is no evidence that islam is a religion of violence. do you have any? what do you mean by "" extremists ""?",What does that mean? What do you mean by a 'death cult'? How does it come to you?,"Islam is a religion, not a death cult. Do you really want to end up like that?",tp,kp,tp,tk,kp,4,3,5,1,0,5,2,5,1,1,4,1,5,1,0,4,1,5,0,0,3,4,5,1,0,two
Muslims have nothing to do with our country. They have nothing to do with our history.,MUSLIMS,"For the record, Muslims are part of our society. They have contributed greatly to our success and our heritage. They are our brothers and sisters. They are our neighbours and our friends. They are our fellow humans.",Muslims have been part of our country since its inception. They have contributed greatly to our society. They are our brothers and sisters.,"muslims are part of our society and have contributed greatly to our society. they are our brothers and sisters. they have contributed to our country, and we are proud of them.","Muslims are not related to our history, they are just part of the fabric of our nation. They are our brothers and sisters.","Muslims have contributed a lot to our country, and they are our brothers and sisters.",tp,bs,tp,kp,kp,3,2,5,1,0,2,3,5,1,0,5,3,5,1,0,5,3,5,1,1,5,3,4,1,0,one
Muslims have nothing to do with our country. They have nothing to do with our history.,MUSLIMS,"For the record, Muslims are part of our society. They have contributed greatly to our success and our heritage. They are our brothers and sisters. They are our neighbours and our friends. They are our fellow humans.",Muslims have been part of our country since its inception. They have contributed greatly to our society. They are our brothers and sisters.,"muslims are part of our society and have contributed greatly to our society. they are our brothers and sisters. they have contributed to our country, and we are proud of them.","Muslims are not related to our history, they are just part of the fabric of our nation. They are our brothers and sisters.","Muslims have contributed a lot to our country, and they are our brothers and sisters.",tp,bs,tp,kp,kp,5,3,5,1,0,4,4,5,1,0,5,4,5,1,0,5,5,5,1,1,5,4,5,1,0,two
Muslims are just an inferior people who do not deserve our rights.,MUSLIMS,"They are not 'inferior' just because of their beliefs. They are just people with a different culture, and a lot of respect for others, and a lot of different religions.","Islam is a religion of peace, and it has always been a part of our society.","muslims are human beings with full human rights. they are our brothers and sisters, and we should be treated equally as any other human human beings.","The vast majority of Muslims in the UK are self-reliant people who value the rights of others. They are also capable of achieving our goals by serving in many different roles, such as teaching or creating jobs.","Muslims have always been part of our country, and they are our brothers and sisters. They are our brothers and sisters regardless of their religion.",tk,bs,tp,tp,kp,4,3,5,1,0,5,3,5,1,1,3,2,5,1,0,4,3,5,1,0,4,3,4,1,0,one
Muslims are just an inferior people who do not deserve our rights.,MUSLIMS,"They are not 'inferior' just because of their beliefs. They are just people with a different culture, and a lot of respect for others, and a lot of different religions.","Islam is a religion of peace, and it has always been a part of our society.","muslims are human beings with full human rights. they are our brothers and sisters, and we should be treated equally as any other human human beings.","The vast majority of Muslims in the UK are self-reliant people who value the rights of others. They are also capable of achieving our goals by serving in many different roles, such as teaching or creating jobs.","Muslims have always been part of our country, and they are our brothers and sisters. They are our brothers and sisters regardless of their religion.",tk,bs,tp,tp,kp,4,3,3,1,0,4,5,5,1,1,2,2,5,0,0,5,3,4,1,0,5,3,5,1,0,two
Islam is just a violent religion that cannot be reconciled with western society.,MUSLIMS,The Koran does not advocate violence or intolerance. It is a way of life. And Islam is not a violent religion.,Islam is a religion of peace and harmony. It is not a violent religion that can be reconciled with western society.,"islam is a religion of peace, and it is a peaceful religion that has always been a part of our society. islam is not a religion, it is about love and understanding people of different faiths.","The Islamic world is not a violence-affected country. It is about peace and respect for humanity, for the good of all who know. What they are trying to do is to be kind.",Islam has been part of the Western world for a long time. The concept of an Islamic state has been around for a long time. So to suggest that it is incompatible with the Western way of life is just wrong.,tp,tp,tp,tp,tk,5,4,5,1,1,4,3,5,1,0,2,2,5,1,0,3,2,5,1,0,2,1,4,1,0,one
Islam is just a violent religion that cannot be reconciled with western society.,MUSLIMS,The Koran does not advocate violence or intolerance. It is a way of life. And Islam is not a violent religion.,Islam is a religion of peace and harmony. It is not a violent religion that can be reconciled with western society.,"islam is a religion of peace, and it is a peaceful religion that has always been a part of our society. islam is not a religion, it is about love and understanding people of different faiths.","The Islamic world is not a violence-affected country. It is about peace and respect for humanity, for the good of all who know. What they are trying to do is to be kind.",Islam has been part of the Western world for a long time. The concept of an Islamic state has been around for a long time. So to suggest that it is incompatible with the Western way of life is just wrong.,tp,tp,tp,tp,tk,4,4,5,1,0,3,3,5,1,0,4,1,5,1,0,4,5,5,1,1,3,4,4,1,0,two
Islam is a religion that promotes oppression.,MUSLIMS,"Islam is a religion that promotes unity, not oppression.",Islam is a religion of peace. It is not a religion that promotes oppression.,"islam is a religion of peace and tolerance, and it is not a peaceful religion. it is about peace, not hate.",It is not a religion that promotes oppression. It is a peaceful religion.,This is not true. Islam is a religion that promotes tolerance and understanding.,tp,bs,kp,tk,kp,5,3,5,1,1,5,2,5,1,0,5,2,5,1,0,5,2,5,1,0,1,2,3,1,0,one
Islam is a religion that promotes oppression.,MUSLIMS,"Islam is a religion that promotes unity, not oppression.",Islam is a religion of peace. It is not a religion that promotes oppression.,"islam is a religion of peace and tolerance, and it is not a peaceful religion. it is about peace, not hate.",It is not a religion that promotes oppression. It is a peaceful religion.,This is not true. Islam is a religion that promotes tolerance and understanding.,tp,bs,kp,tk,kp,5,4,5,1,1,5,2,5,1,0,5,2,5,1,0,3,1,5,0,0,1,2,3,0,0,two
"Islam is a religion that promote rape, torture, murder, infanticide and enslavement of women and children.",MUSLIMS,"Why are you referring to Islam and not, say, Christian or Jewish history? Or the Muslim faith itself?","Islam is a religion that promotes love, tolerance and respect for other people. It does not promote violence against women and children.","this is not true. the quran does not mention that all muslims are child molesters, and it does not promote hate against all people.","For all you are saying is that Islam is against all religions, it does not promote violence. For example, Islam is about accepting children, not killing them.",Violence in Islam does not justify any other beliefs than the one you claim.,tp,tp,tk,kp,tk,2,2,5,0,0,2,3,5,1,0,5,3,5,1,1,3,2,5,1,0,4,3,5,1,0,one
"Islam is a religion that promote rape, torture, murder, infanticide and enslavement of women and children.",MUSLIMS,"Why are you referring to Islam and not, say, Christian or Jewish history? Or the Muslim faith itself?","Islam is a religion that promotes love, tolerance and respect for other people. It does not promote violence against women and children.","this is not true. the quran does not mention that all muslims are child molesters, and it does not promote hate against all people.","For all you are saying is that Islam is against all religions, it does not promote violence. For example, Islam is about accepting children, not killing them.",Violence in Islam does not justify any other beliefs than the one you claim.,tp,tp,tk,kp,tk,2,2,5,0,0,3,3,5,1,0,5,4,5,1,1,1,1,5,0,0,2,4,5,1,0,two
I hate Muslims. They are just a bunch of whining spoiled brats.,MUSLIMS,"This is not true. Islam is a religion of peace. It is about love, not hate.","Islam is a religion of peace, and there is no reason to hate it.","islam is a religion of peace, and it is not about hate. it is about love and love, not hate.","It is not true that Islam was primarily about religion, but rather about love.","Islam is about peace, tolerance and understanding. To suggest that it is about hate is just wrong.",bs,kp,kp,kp,tk,3,2,5,1,0,1,1,5,1,0,5,2,5,1,1,3,2,5,1,0,3,2,4,1,0,one
I hate Muslims. They are just a bunch of whining spoiled brats.,MUSLIMS,"This is not true. Islam is a religion of peace. It is about love, not hate.","Islam is a religion of peace, and there is no reason to hate it.","islam is a religion of peace, and it is not about hate. it is about love and love, not hate.","It is not true that Islam was primarily about religion, but rather about love.","Islam is about peace, tolerance and understanding. To suggest that it is about hate is just wrong.",bs,kp,kp,kp,tk,5,2,5,1,0,1,1,5,0,0,5,2,5,1,1,4,1,5,0,0,4,1,2,0,0,two
"Muslim mothers let their 3-year-old children play with toy guns, they should be ashamed of themselves!",MUSLIMS,Why should they be ashamed of their religion? Isn't it just a part of the experience that every single child should have an equal opportunity to experience the world as it truly is?,"Children should be allowed to play with toys, regardless of their religion.","it is not true that children are child molesters, but it is about children with the same rights as children who do not want to be abused, regardless of their physical or physical violence.","You are right, some Muslims do not let their children play with toy guns, and this is a violation of the law.","Moms should have to deal with this shame. Not with talking to them, but with stopping them. Maybe they have to live with this guilt for the rest of their lives, for being Muslim.",tp,kp,kp,kp,kp,2,2,5,0,0,2,3,5,1,0,2,3,5,1,0,3,3,5,1,1,1,2,3,0,0,one
"Muslim mothers let their 3-year-old children play with toy guns, they should be ashamed of themselves!",MUSLIMS,Why should they be ashamed of their religion? Isn't it just a part of the experience that every single child should have an equal opportunity to experience the world as it truly is?,"Children should be allowed to play with toys, regardless of their religion.","it is not true that children are child molesters, but it is about children with the same rights as children who do not want to be abused, regardless of their physical or physical violence.","You are right, some Muslims do not let their children play with toy guns, and this is a violation of the law.","Moms should have to deal with this shame. Not with talking to them, but with stopping them. Maybe they have to live with this guilt for the rest of their lives, for being Muslim.",tp,kp,kp,kp,kp,1,2,5,0,0,2,2,5,0,0,3,1,5,0,0,1,2,5,1,1,1,1,5,0,0,two
Muslims are not welcome here. They are not like us and we don't want them.,MUSLIMS,There is no evidence that Muslims are not welcome in Europe. They are welcome in our country just as people other than us.,I don't see how you can say that Muslims are not welcome here. They are human beings with full human rights.,"muslims are welcome in our country, and they are our brothers and sisters. why should we be so worried about them?",I'm not sure what the point of denial is on Muslims. In fact many Muslims have left this country over the years.,This is not true. Are you suggesting that Muslims are not welcome because they don't believe in the American way of life? Or are you saying that Islam is about killing infidels?,tk,tk,tp,tk,tp,2,3,5,0,0,2,2,5,0,0,5,2,5,1,1,5,2,5,1,0,5,2,5,1,0,one
Muslims are not welcome here. They are not like us and we don't want them.,MUSLIMS,There is no evidence that Muslims are not welcome in Europe. They are welcome in our country just as people other than us.,I don't see how you can say that Muslims are not welcome here. They are human beings with full human rights.,"muslims are welcome in our country, and they are our brothers and sisters. why should we be so worried about them?",I'm not sure what the point of denial is on Muslims. In fact many Muslims have left this country over the years.,This is not true. Are you suggesting that Muslims are not welcome because they don't believe in the American way of life? Or are you saying that Islam is about killing infidels?,tk,tk,tp,tk,tp,4,4,5,1,1,2,2,5,0,0,4,3,5,1,0,4,3,4,1,0,4,2,5,1,0,two
Muslim folks are all suicide bombers.,MUSLIMS,"Muslims can't be terrorists, as your assertion suggest. They are all suffering from the same disease and suicide is not the solution.","It is not true that all Muslims are suicide bombers. The vast majority of Muslims are good people, and they are contributing members of our society.","it is not true that all muslims are terrorists, but the majority of them are terrorists. they are just trying to live their life as they wish.",To say they are all one of them is a lie. What about putting their faith in someone and taking responsibility for its cause?,"Even if the overwhelming majority of them are terrorists, what you are saying proves that they are just as capable of committing acts of terrorism if you don't label them as such.",tk,tk,tk,bs,tk,2,3,5,0,0,3,3,5,1,0,5,3,5,1,1,2,3,5,0,0,1,3,5,0,0,one
Muslim folks are all suicide bombers.,MUSLIMS,"Muslims can't be terrorists, as your assertion suggest. They are all suffering from the same disease and suicide is not the solution.","It is not true that all Muslims are suicide bombers. The vast majority of Muslims are good people, and they are contributing members of our society.","it is not true that all muslims are terrorists, but the majority of them are terrorists. they are just trying to live their life as they wish.",To say they are all one of them is a lie. What about putting their faith in someone and taking responsibility for its cause?,"Even if the overwhelming majority of them are terrorists, what you are saying proves that they are just as capable of committing acts of terrorism if you don't label them as such.",tk,tk,tk,bs,tk,2,3,5,1,0,3,2,4,0,0,5,3,5,1,1,2,2,5,0,0,3,3,4,1,0,two
muslim folks don't deserve to live.,MUSLIMS,Do you really think it is appropriate to insult a group because of a few words they have said? It seems a bit much.,The fact that some people are different from others doesn't mean that they don't deserve to live.,"islam is a religion of peace and tolerance. it is not about killing people for their lives, they are just trying to live their life as well.",Do you think that muslims deserve to live the way they do?,Why would you think that they don't deserve to live? They are all just citizens with the right to practice their religion as they wish.,tp,kp,bs,tk,tp,5,2,5,1,1,2,2,5,0,0,5,2,5,1,0,3,1,5,0,0,3,1,5,0,0,one
